contract,source,total,comment
 src/Node.sol,605,821,87
 src/NodeFactory.sol,46,66,9
 src/NodeRegistry.sol,93,133,19
 src/routers/ERC4626Router.sol,113,221,70
 src/routers/ERC7540Router.sol,147,292,94
 src/routers/FluidRewardsRouter.sol,21,42,14
 src/routers/IncentraRouter.sol,20,34,8
 src/routers/MerklRouter.sol,19,37,11
 src/routers/OneInchV6RouterV1.sol,66,148,52
 src/quoters/QuoterV1.sol,69,163,66
 src/libraries/BaseComponentRouter.sol,86,186,72
 src/adapters/digift/DigiftAdapter.sol,459,1166,523
 src/adapters/digift/DigiftAdapterFactory.sol,14,58,35
 src/adapters/digift/DigiftEventVerifier.sol,135,332,147
